cumulative_spent_ali,cumulative_spent_usd,total_spent_ali,total_spent_usd,trade_date,date,TVLALI,TVL_USD
832490.625,16660.634878124998,152767.8125,3057.3422315625,2024-04-25 00:00:00.000 UTC,2024-04-25 00:00:00+00:00,1673420.4220213518,33490.16290591332
679722.8125,13603.292646562499,84485.625,1690.8108131249999,2024-04-24 00:00:00.000 UTC,2024-04-24 00:00:00+00:00,879621.2366022321,17603.859808120476
595237.1875,11912.4818334375,35920.625,718.879468125,2024-04-23 00:00:00.000 UTC,2024-04-23 00:00:00+00:00,276587.5758370324,5535.347155226528
559316.5625,11193.6023653125,33413.4375,668.7031246875,2024-04-22 00:00:00.000 UTC,2024-04-22 00:00:00+00:00,1556599.2985142714,31152.221761166125
525903.125,10524.899240625,90631.25,1813.80320625,2024-04-21 00:00:00.000 UTC,2024-04-21 00:00:00+00:00,1157225.4495344728,23159.552921533377
435271.875,8711.096034375,221279.0625,4428.4578778125,2024-04-20 00:00:00.000 UTC,2024-04-20 00:00:00+00:00,2111462.944208524,42256.70790244518
213992.8125,4282.6381565625,46193.75,924.47551875,2024-04-19 00:00:00.000 UTC,2024-04-19 00:00:00+00:00,244051.2623054262,4884.197912518489
167799.0625,3358.1626378124997,12409.375,248.348821875,2024-04-18 00:00:00.000 UTC,2024-04-18 00:00:00+00:00,62109.11277250047,1242.989673916052
155389.6875,3109.8138159375,17653.4375,353.2982446875,2024-04-17 00:00:00.000 UTC,2024-04-17 00:00:00+00:00,53653.30896651785,1073.7636723469222
137736.25,2756.51557125,13519.687500000002,270.5695059375,2024-04-16 00:00:00.000 UTC,2024-04-16 00:00:00+00:00,46562.52856156766,931.8558841026536
124216.5625,2485.9460653125,10111.875,202.368954375,2024-04-15 00:00:00.000 UTC,2024-04-15 00:00:00+00:00,25223.421858115827,504.79634164647206
114104.6875,2283.5771109375,9121.875,182.55608437499998,2024-04-14 00:00:00.000 UTC,2024-04-14 00:00:00+00:00,18010.884861206512,360.45183872732554
104982.8125,2101.0210265625,5236.250000000001,104.79307125000001,2024-04-13 00:00:00.000 UTC,2024-04-13 00:00:00+00:00,18579.009626831503,371.8217196617792
99746.5625,1996.2279553125,4950.9375,99.08311218749999,2024-04-12 00:00:00.000 UTC,2024-04-12 00:00:00+00:00,12584.062301682698,251.84483884357576
94795.625,1897.1448431249999,5743.125000000001,114.93716062500002,2024-04-11 00:00:00.000 UTC,2024-04-11 00:00:00+00:00,19700.22765710852,394.26065610171264
89052.5,1782.2076825,7700.9375,154.11886218749999,2024-04-10 00:00:00.000 UTC,2024-04-10 00:00:00+00:00,19010.752187500002,380.46218352843755
81351.5625,1628.0888203125,11100.3125,222.1505540625,2024-04-09 00:00:00.000 UTC,2024-04-09 00:00:00+00:00,28254.558541666654,565.458480094375
70251.25,1405.93826625,13734.062499999998,274.85979281249996,2024-04-08 00:00:00.000 UTC,2024-04-08 00:00:00+00:00,37425.64537386053,748.9994408670711
56517.1875,1131.0784734375,5932.8125,118.7333765625,2024-04-07 00:00:00.000 UTC,2024-04-07 00:00:00+00:00,16632.46296130952,332.86548124468726
50584.375,1012.345096875,19210.3125,384.45598406249997,2024-04-06 00:00:00.000 UTC,2024-04-06 00:00:00+00:00,36615.01249227577,732.7762450079151
31374.0625,627.8891128125,8751.25,175.13876625,2024-04-05 00:00:00.000 UTC,2024-04-05 00:00:00+00:00,16060.759687500005,321.4239836259373
22622.8125,452.7503465625,5501.875,110.109024375,2024-04-04 00:00:00.000 UTC,2024-04-04 00:00:00+00:00,17407.603411458334,348.3783670735152
17120.9375,342.6413221875,4062.5,81.3028125,2024-04-03 00:00:00.000 UTC,2024-04-03 00:00:00+00:00,10382.132812499998,207.77762397656235
13058.4375,261.3385096875,9262.8125,185.3766665625,2024-04-02 00:00:00.000 UTC,2024-04-02 00:00:00+00:00,15311.212500000001,306.42329576249995
3795.625,75.96184312499999,98.75,1.97628375,2024-04-01 00:00:00.000 UTC,2024-04-01 00:00:00+00:00,651.2925267857144,13.034317338562499
3696.875,73.985559375,0.0,0.0,2024-03-31 00:00:00.000 UTC,2024-03-31 00:00:00+00:00,0.0,0.0
3696.875,73.985559375,915.9375,18.330657187499998,2024-03-29 00:00:00.000 UTC,2024-03-29 00:00:00+00:00,1390.9862767857142,27.837808357312497
2780.9375,55.6549021875,831.5625,16.6420603125,2024-03-28 00:00:00.000 UTC,2024-03-28 00:00:00+00:00,4474.091508928572,89.53999336818751
1949.375,39.012841875,1949.375,39.012841875,2024-03-27 00:00:00.000 UTC,2024-03-27 00:00:00+00:00,4892.340624999998,97.910412928125
